Nombre;Compila;Puntocoma;PrimiMisspell;FaltaReturn;OutIncorrecto;VariableNoDeclarada;VariableNoIni;Llaves;ImportMal;ConstructorClaseIgual;VariableNoUsada;TokensExtra;Parentesis;RecursionInf ;FuncionNoDef;MalLlamadaFuncion;InputVacio;IndexOutOfBounds;VariableUsandoPrimi;TipoErroneo;LecturaInput;Accuracy;Difficulty;Cost;WellFormed;Validity;Experimentability;Quality
mtpg2c-06%12_39_14;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;1;1;1
mtpg3a-02%10_36_02;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3a-03%10_37_33;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3a-04%10_11_22;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3a-04%10_24_44;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0
mtpg3a-04%10_32_09;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3b-01%09_57_36;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3b-01%10_04_49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
mtpg3b-02%10_16_06;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
mtpg3b-03%10_15_48;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3b-04%10_02_15;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;1;1;0;1
mtpg3b-04%10_11_45;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3c-01%10_30_16;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3c-01%10_42_39;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3c-02%10_49_21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg3c-03%10_35_18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3c-03%10_42_40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg3c-04%10_47_22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0
mtpg4a-01%19_05_42;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg4a-01%19_07_11;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4a-02%19_00_09;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4a-03%19_02_04;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;1;1;1;0;1;1;1;0;1
mtpg4a-04%18_59_20;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4a-05%18_32_36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
mtpg4a-05%18_38_23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4a-05%18_51_48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4a-06%18_57_48;1;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-01%18_31_37;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-01%18_33_15;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-02%18_30_54;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;1;1;0;1
mtpg4b-03%18_29_28;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-03%18_31_29;1;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1
mtpg4b-04%18_13_06;1;1;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
mtpg4b-04%18_30_23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-05%18_31_05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4b-06%18_30_38;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
mtpg4c-01%19_03_02;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;1;1;0;1
mtpg4c-01%19_26_17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4c-02%19_08_04;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;1;1;1;0;1
mtpg4c-02%19_23_37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4c-03%19_18_57;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg4c-03%19_19_38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0
mtpg4c-03%19_25_01;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0
mtpg4c-04%19_06_38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
mtpg4c-05%18_52_42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4c-05%19_16_40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1
mtpg4c-05%19_20_11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
mtpg4c-06%19_22_43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1
eda01%13_58_58;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1
eda02%13_53_14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1
eda03%13_39_24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
eda04%14_08_16;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0
edb01%20_23_30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
iua-10%12_10_31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0
iua-12%11_59_06;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
iua-2%11_45_14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1
iua-3%11_39_31;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;1;1;1
iua-4%11_34_26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1
iua-5%11_36_34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;1
iua-6%11_47_37;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1
iua-9%11_41_21;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0
iub-2%11_58_37;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0
iub-4%11_23_52;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
iub-5%11_45_08;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1
iub-6%11_14_50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;1
iub-7%11_33_02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1
